CAGE,ID,PROJECT,SEX,EGLN2,MMTV-PYVT,C3TAG,DOB,FATHER,MOTHER,SAC_DATE,AGE,COMMENT,,,,,,,,,,,,,
2431038,156,PyVT,F,+/-,o/-,o/-,01/07/16,515,516,04/28/16,16,,,,,,,,,,,,,,
2431033,141,PyVT,F,+/+,o/-,o/-,01/04/16,273,517;518,04/28/16,16,,,,,,,,,,,,,,
2431032,038,C3TAG-EGLN2,M,(+/-),,(o/-),12/22/15,sibling,22;23,04/28/16,18,,,,,,,,,,,,,,
2431032,039,C3TAG-EGLN2,M,(-/-),,(o/-),12/22/15,sibling,22;23,04/28/16,18,,,,,,,,,,,,,,
2431031,045,C3TAG-EGLN2,M,(+/+),,(o/-),12/25/15,sibling,22;23,04/28/16,18,,,,,,,,,,,,,,
2358704,003,C3TAG-EGLN2,M,+/-,,o/-,10/14/15,256,651,04/28/16,28,,,,,,,,,,,,,,
???,001,C3TAG-EGLN2,F,+/+,,o/-,11/15/15,sibling,637,04/28/16,24,,,,,,,,,,,,,,
???,012,C3TAG-EGLN2,F,+/-,,o/-,11/16/15,509,298,04/28/16,23,,,,,,,,,,,,,,
???,149,C3TAG-EGLN2,F,+/+,,o/-,01/06/16,515,514,04/28/16,16,,,,,,,,,,,,,,
???,150,C3TAG-EGLN2,F,+/-,,o/-,01/06/16,515,514,04/28/16,16,,,,,,,,,,,,,,
2431007,032,C3TAG-EGLN2,F,(+/-),,(o/-),11/05/15,591,587;590,05/06/16,26,,,,,,,,,,,,,,
2431030,035,C3TAG-EGLN2,F,(+/+),,(o/-),12/25/15,sibling,22;23,05/10/16,20,,,,,,,,,,,,,,
2431041,007,PyVT,M,-/-,o/-,-/-,10/12/15,273,517;518,05/11/16,30,,,,,,,,,,,,,,
2431041,095,C3TAG-EGLN2,M,+/+,-/-,o/-,08/05/15,273,565;562,05/11/16,40,,,,,,,,,,,,,,
2431033,142,PyVT,F,+/+,o/-,,01/04/16,273,517;518,05/13/16,19,,,,,,,,,,,,,,
2431036,057,C3TAG-EGLN2,M,(+/+),,(o/-),01/03/16,sibling,12;14,05/16/16,19,,,,,,,,,,,,,,
2431035,050,C3TAG-EGLN2,F,(+/-),,(o/-),01/03/16,sibling,12;14,05/17/16,19,,,,,,,,,,,,,,
2431035,052,C3TAG-EGLN2,F,(+/-),,(o/-),01/03/16,sibling,12;14,05/17/16,19,,,,,,,,,,,,,,
2431097,163,PyVT,F,-/-,-/-,,04/22/16,101,159,05/24/16,5,genotype unecessary to project,,,,,,,,,,,,,
2431097,167,PyVT,F,+/-,-/-,,04/22/16,101,159,05/24/16,5,genotype unecessary to project,,,,,,,,,,,,,
2431097,168,PyVT,F,-/-,-/-,,04/22/16,101,159,05/24/16,5,genotype unecessary to project,,,,,,,,,,,,,
2431096,160,PyVT,M,-/-,-/-,,04/22/16,101,159,05/24/16,5,genotype unecessary to project,,,,,,,,,,,,,
2431096,164,PyVT,M,+/+,-/-,,04/22/16,101,159,05/24/16,5,genotype unecessary to project,,,,,,,,,,,,,
2431096,166,PyVT,M,+/-,-/-,,04/22/16,101,159,05/24/16,5,genotype unecessary to project,,,,,,,,,,,,,
2431035,054,C3TAG-EGLN2,F,+/-,,o/-,01/03/16,sibling,12;14,05/27/16,21,,,,,,,,,,,,,,
2431096,165,PyVT,M,+/+,o/-,,04/22/16,101,159,05/31/16,6,genotype unecessary to project,,,,,,,,,,,,,
2431089,037,C3TAG-EGLN2,F,-/-,-/-,o/-,12/25/15,sibling,22;23,06/06/16,23,bilateral tumors >4cm^2,,,,,,,,,,,,,
2431030,036,C3TAG-EGLN2,F,+/+,o/-,o/-,12/25/15,sibling,22;23,06/06/16,23,bilateral tumors >4cm^2 on chest and abdomen,,,,,,,,,,,,,
2431088,171,PyVT,M,+/+,-/-,-/-,05/19/16,007;095,159,06/09/16,3,genotype unecessary to project,,,,,,,,,,,,,
2431092,033,C3TAG-EGLN2,F,(+/-),,(o/-),12/22/15,sibling,022;023,06/10/16,24,bilateral tumors >4cm^2 on head neck and abdomen,,,,,,,,,,,,,
2431032,041,C3TAG-EGLN2,M,(+/-),,(o/-),12/22/15,sibling,022;023,06/15/16,25,found dead; removed by DLAM,,,,,,,,,,,,,
2431035,048,C3TAG-EGLN2,F,+/+,,(o/-),01/03/16,sibling,022;023,06/28/16,25,bilateral tumors >4cm^2 on chest and abdomen,,,,,,,,,,,,,
2431092,056,C3TAG-EGLN2,M,(-/-),,(o/-),01/03/16,sibling,012;014,07/04/16,26,found dead removed by DLAM; dehydrated hunching thin before death,,,,,,,,,,,,,
2431075,190,PyVT,M,+/-,-/-,,06/08/16,003.1,157,07/06/16,4,genotype unecessary to project,,,,,,,,,,,,,
2431076,183,PyVT,F,+/-,-/-,,06/08/16,003.1,157,07/06/16,4,genotype unecessary to project,,,,,,,,,,,,,
2431076,185,PyVT,F,+/-,-/-,,06/08/16,003.1,157,07/06/16,4,genotype unecessary to project,,,,,,,,,,,,,
2431077,189,PyVT,M,+/-,-/-,,06/08/16,003.1,157,07/06/16,4,genotype unecessary to project,,,,,,,,,,,,,
2431079,181,PyVT,M,+/+,-/-,-/-,06/05/16,003.1,539,07/06/16,4,genotype unecessary to project,,,,,,,,,,,,,
2431078,182,PyVT,F,+/+,-/-,-/-,06/05/16,003.1,539,07/06/16,4,genotype unecessary to project,,,,,,,,,,,,,
2431042,544,PyVT,F,+/+,-/-,-/-,09/01/15,273,517;518,07/06/16,44,genotype unecessary to project,,,,,,,,,,,,,
2431098,538,PyVT,F,+/+,-/-,-/-,09/01/15,273,517;518,07/06/16,44,genotype unecessary to project,,,,,,,,,,,,,
2431086,179,PyVT,M,+/-,,,05/20/16,447,544,07/10/16,7,found dead; removed by DLAM,,,,,,,,,,,,,
2431090,162,PyVT,F,+/-,o/-,,04/22/16,101,159,07/13/16,12,bilateral tumors >4cm^2 on neck chest and abdomen,,,,,,,,,,,,,
2431091,161,PyVT,F,-/-,o/-,,04/22/16,101,159,07/19/16,13,bilateral tumors >4cm^2 on chest and abdomen; difficulty breathing,,,,,,,,,,,,,
2431097,169,PyVT,F,+/+,o/-,,04/22/16,101,159,08/01/16,14,bilateral tumors >4cm^2 on chest and abdomen,,,,,,,,,,,,,
2431084,176,PyVT,M,+/-,,,05/20/16,447,544,08/01/16,10,found dead; removed by DLAM,,,,,,,,,,,,,
2431023,103,PyVT,M,(+/-),(o/-),,11/22/15,273,517;518,08/01/16,36,found open mouth breathing; culled by DLAM,,,,,,,,,,,,,
2431080,267,C3TAG-EGLN2,F,+/-,o/-,(o/-),04/15/15,465;466,298,08/03/16,68,dehydrated hunched; DLAM notified to cull,,,,,,,,,,,,,
2431075,188,PyVT,F,-/-,-/-,,06/08/16,003.1,157,08/05/16,8,dehydrated hunched unhealthy; found dead and removed by DLAM,,,,,,,,,,,,,
2358697,777,PyVT,M,(+/+),(o/-),(-/-),08/05/15,273,565;562,08/24/16,55,mass 2cm x 1.5cm^2 behind front right limb discolored,,,,,,,,,,,,,
2431065,,B6*E2,M,(+/-),,,07/23/15,177,B6,08/24/16,57,ruptured mass left side; DLAM notified to cull,,,,,,,,,,,,,
2431031,044,C3TAG-EGLN2,M,(+/+),,(o/-),12/25/15,sibling,022;023,08/24/16,35,exophthalmos left eye necrotic; DLAM notified to cull or operate,,,,,,,,,,,,,
2431076,187,PyVT,F,+/+,o/-,,06/08/16,003.1,157,08/26/16,11,bilateral tumors >4cm^2 on upper chest and caudal to vulva; dissected,,,,,,,,,,,,,
2431031,046,C3TAG-EGLN2,M,(+/+),,(o/-),12/25/15,sibling,022;023,08/26/16,35,dyspnea hunched dehydrated; DLAM notified to cull,,,,,,,,,,,,,
2431063,184,PyVT,F,+/-,o/-,,06/08/16,003.1,157,08/26/16,11,bilateral tumors >4cm^2 dark in color; DLAM notified to cull,,,,,,,,,,,,,
2431072,198,PyVT,M,(+/-),(-/-),,06/09/16,447,544,08/31/16,12,genotype unecessary to project,,,,,,,,,,,,,
2431073,197,PyVT,M,(+/-),(-/-),,06/09/16,447,544,08/31/16,12,genotype unecessary to project,,,,,,,,,,,,,
2431073,195,PyVT,M,(+/-),(-/-),,06/09/16,447,544,08/31/16,12,genotype unecessary to project,,,,,,,,,,,,,
2431093,539,C3TAG-EGLN2,F,(+/+),,(-/-),09/01/15,273,517;518,08/31/16,52,genotype unecessary to project,,,,,,,,,,,,,
2431094,298,C3TAG-EGLN2,F,(+/-),(-/-),(o/-),01/05/15,191,170;168,08/31/16,86,beyond reproductive age,,,,,,,,,,,,,
2431082,,B6*E2,M,,,,07/29/15,???,???,08/31/16,57,beyond reproductive age,,,,,,,,,,,,,
2431085,172,PyVT,F,-/-,o/-,-/-,05/19/16,007,159,09/07/16,16,tumors >9cm^2; tumor hemorrhage; mass on nostril,,,,,,,,,,,,,
2431071,101,PyVT,M,+/-,o/-,,11/22/15,273,517;518,09/15/16,43,bilateral tumors >4cm^2 on chest and abdomen; DLAM notified to cull,,,,,,,,,,,,,
2495506,039,C3TAG-EGLN2,M,+/+,-/-,o/-,12/22/15,sibling,022;023,-,,not found 09/15/16,,,,,,,,,,,,,
2495501,349,FVB/NJ*E2,M,(-/-),,(-/-),06/06/15,256,257;269,09/27/16,68,beyond reproductive age,,,,,,,,,,,,,
2495506,040,C3TAG-EGLN2,M,(+/+),,(o/-),12/22/15,sibling,022;023,09/27/16,40,hunched dehydrated ataxic labored breathing; DLAM notified to cull,,,,,,,,,,,,,
2495506,042,C3TAG-EGLN2,M,(+/-),,(o/-),12/22/15,sibling,022;023,09/27/16,40,hunched dehydrated ataxic labored breathing; DLAM notified to cull,,,,,,,,,,,,,
2501529,209,PyVT,M,+/-,-/-,,08/10/16,003.1,178,09/27/16,,genotype unecessary to project,,,,,,,,,,,,,
2501529,211,PyVT,M,-/-,-/-,,08/10/16,003.1,178,09/27/16,,genotype unecessary to project,,,,,,,,,,,,,
2501531,217,PyVT,M,+/+,-/-,,08/10/16,101,157,09/27/16,,genotype unecessary to project,,,,,,,,,,,,,
2501547,215,PyVT,F,+/-,o/-,,08/10/16,101,157,09/27/16,,genotype unecessary to project,,,,,,,,,,,,,
2501548,212,PyVT,M,+/+,-/-,,08/10/16,003.1,178,09/27/16,,genotype unecessary to project,,,,,,,,,,,,,
2431077,180,PyVT,M,-/-,-/-,-/-,06/05/16,003.1,539,-,,not found 09/29/16,,,,,,,,,,,,,
2501531,218,PyVT,M,+/-,-/-,,08/10/16,101,157,09/29/16,7,found dead; removed by DLAM,,,,,,,,,,,,,
2501545,201,PyVT,F,+/+,o/-,,07/04/16,003.1,159,09/29/16,12,bilateral tumors ~4cm^2 on neck and chest; DLAM notified to cull,,,,,,,,,,,,,
2495503,043,C3TAG-EGLN2,M,(-/-),,(o/-),12/25/15,sibling,022;023,10/03/16,40,found dead removed,,,,,,,,,,,,,
2495508,236,PyVT,M,+/+,-/-,,08/24/16,003.1,177;199,10/03/16,6,genotype unecessary to project,,,,,,,,,,,,,
2495510,232,PyVT,M,+/+,o/-,,08/24/16,003.1,177;199,10/03/16,6,genotype unecessary to project,,,,,,,,,,,,,
2495510,233,PyVT,M,+/-,-/-,,08/24/16,003.1,177;199,10/03/16,6,genotype unecessary to project,,,,,,,,,,,,,
2495510,235,PyVT,M,+/-,o/-,,08/24/16,003.1,177;199,10/03/16,6,genotype unecessary to project,,,,,,,,,,,,,
2495511,223,PyVT,F,-/-,-/-,,08/24/16,003.1,177;199,10/03/16,6,genotype unecessary to project,,,,,,,,,,,,,
2495511,224,PyVT,F,-/-,-/-,,08/24/16,003.1,177;199,10/03/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501529,210,PyVT,M,+/+,-/-,,08/10/16,003.1,178,10/03/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501537,204,PyVT,F,+/+,-/-,,08/10/16,003.1,178,10/03/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501537,205,PyVT,F,+/+,-/-,,08/10/16,003.1,178,10/03/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501537,206,PyVT,F,-/-,-/-,,08/10/16,003.1,178,10/03/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501539,194,PyVT,M,(+/-),(-/-),,06/09/16,447,544,10/03/16,17,genotype unecessary to project,,,,,,,,,,,,,
2501541,175,PyVT,M,+/-,,,05/20/16,447,544,10/03/16,19,genotype unecessary to project,,,,,,,,,,,,,
2501542,174,PyVT,M,+/+,o/-,-/-,05/17/16,003.1,538,10/03/16,20,genotype unecessary to project,,,,,,,,,,,,,
2501545,200,PyVT,F,-/-,-/-,,07/04/16,003.1,159,10/03/16,13,genotype unecessary to project,,,,,,,,,,,,,
2501547,214,PyVT,F,+/-,o/-,,08/10/16,101,157,10/03/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501548,213,PyVT,M,+/-,o/-,,08/10/16,003.1,178,10/03/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501556,055,C3TAG-EGLN2,M,(+/-),,(o/-),01/03/16,sibling,022;023,10/07/16,40,hunched dehydrated labored breathing; DLAM notified to cull,,,,,,,,,,,,,
2501534,059,C3TAG-EGLN2,M,(-/-),,(o/-),01/03/16,sibling,022;023,10/07/16,40,hunched dehydrated labored breathing; DLAM notified to cull,,,,,,,,,,,,,
2495496,902,B6*E2,M,,,,07/29/15,???,???,10/26/16,65,found dead removed by DLAM,,,,,,,,,,,,,
2501552,237,PyVT,M,+/-,o/-,,09/11/16,101,191;192,11/07/16,8,genotype unecessary to project,,,,,,,,,,,,,
2501557,240,PyVT,F,+/+,-/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501557,241,PyVT,F,+/-,o/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501557,243,PyVT,F,+/-,o/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501558,244,PyVT,M,+/-,-/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501558,245,PyVT,M,+/+,-/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501558,247,PyVT,M,+/-,o/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501559,248,PyVT,F,+/-,o/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501559,249,PyVT,F,-/-,-/-,,09/26/16,101,178,11/07/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501563,260,PyVT,F,+/-,o/-,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501564,263,PyVT,M,,,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501564,264,PyVT,M,,,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2601621,251,PyVT,M,,,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2601621,252,PyVT,M,,,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2601621,253,PyVT,M,,,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2601621,254,PyVT,M,,,,10/05/16,202,177,11/18/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501619,266,PyVT,M,,,,10/11/16,sibling,226,11/18/16,5,genotype unecessary to project,,,,,,,,,,,,,
2501619,267,PyVT,M,,,,10/11/16,sibling,226,11/18/16,5,genotype unecessary to project,,,,,,,,,,,,,
2501569,271,PyVT,M,,,,10/23/16,202,159,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501569,272,PyVT,M,,,,10/23/16,202,159,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501569,273,PyVT,M,,,,10/23/16,202,159,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501569,274,PyVT,M,,,,10/23/16,202,159,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501569,275,PyVT,M,,,,10/23/16,202,159,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501573,279,PyVT,M,,,,10/23/16,196,216,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501573,280,PyVT,M,,,,10/23/16,196,216,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501573,281,PyVT,M,,,,10/23/16,196,216,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501573,282,PyVT,M,,,,10/23/16,196,216,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501573,283,PyVT,M,,,,10/23/16,196,216,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501575,285,PyVT,M,,,,10/23/16,196,216,11/18/16,4,genotype unecessary to project,,,,,,,,,,,,,
2501580,301,PyVT,M,,,,10/23/16,221,227,11/18/16,4,sex unecessary to project,,,,,,,,,,,,,
2501580,302,PyVT,M,,,,10/23/16,221,227,11/18/16,4,sex unecessary to project,,,,,,,,,,,,,
2501580,303,PyVT,M,,,,10/23/16,221,227,11/18/16,4,sex unecessary to project,,,,,,,,,,,,,
2501577,288,PyVT,M,(+/-),,,10/25/16,170,192,11/18/16,3,genotype unecessary to project,,,,,,,,,,,,,
2501577,290,PyVT,M,(+/-),,,10/25/16,170,192,11/18/16,3,genotype unecessary to project,,,,,,,,,,,,,
2501577,294,PyVT,M,(+/-),,,10/25/16,170,192,11/18/16,3,genotype unecessary to project,,,,,,,,,,,,,
2501551,191,PyVT,F,(+/-),(-/-),,06/09/16,447,544,11/18/16,23,missing on 11/18/16,,,,,,,,,,,,,
2501578,287,PyVT,M,(+/-),,,10/25/16,170,192,11/21/16,4,sex unecessary to project,,,,,,,,,,,,,
2501530,208,PyVT,F,+/+,o/-,,08/10/16,003.1,178,11/27/16,16,bilateral tumors ~4cm^2 on neck and chest; DLAM notified to cull,,,,,,,,,,,,,
2501567,203,PyVT,F,+/-,-/-,,07/04/16,003.1,159,11/27/16,21,found dead; removed,,,,,,,,,,,,,
2495504,,B6*E2,F,,,,???,???,???,11/29/16,,found dead by DLAM; removed; donated - RS961 09/14/16,,,,,,,,,,,,,
2501532,003.1,PyVT,M,+/-,o/-,,10/12/15,273,517;518,11/29/16,59,tumor on neck; seizing sporadically; DLAM notified to cull,,,,,,,,,,,,,
2501583,278,PyVT,M,+/-,o/-,,10/23/16,202,159,12/2/16,6,genotype unecessary to project,,,,,,,,,,,,,
2501589,301,PyVT,M,,,,10/23/16,221,226,12/2/16,6,sex unecessary to project,,,,,,,,,,,,,
2501589,302,PyVT,M,,,,10/23/16,221,226,12/2/16,6,sex unecessary to project,,,,,,,,,,,,,
2501589,303,PyVT,M,,,,10/23/16,221,226,12/2/16,6,sex unecessary to project,,,,,,,,,,,,,
2501589,304,PyVT,M,,,,10/23/16,221,226,12/2/16,6,sex unecessary to project,,,,,,,,,,,,,
2501589,305,PyVT,M,,,,10/23/16,221,226,12/2/16,6,sex unecessary to project,,,,,,,,,,,,,
2501591,186,PyVT,M,+/-,o/-,,06/08/16,003.1,157,12/2/16,25,sex unecessary to project,,,,,,,,,,,,,
2501620,270,PyVT,F,+/-,o/-,,10/11/16,sibling,226,12/2/16,7,genotype unecessary to project,,,,,,,,,,,,,
-,309,PyVT,M,,,,11/13/16,221,227,12/2/16,3,sex unecessary to project,,,,,,,,,,,,,
-,310,PyVT,M,,,,11/13/16,221,227,12/2/16,3,sex unecessary to project,,,,,,,,,,,,,
-,311,PyVT,M,,,,11/13/16,221,227,12/2/16,3,sex unecessary to project,,,,,,,,,,,,,
-,324,PyVT,M,,,,11/18/16,196,216,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,325,PyVT,M,,,,11/18/16,196,216,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,326,PyVT,M,,,,11/18/16,196,216,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,327,PyVT,M,,,,11/18/16,196,216,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,328,PyVT,M,,,,11/18/16,196,216,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,331,PyVT,M,,,,11/18/16,202,157,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,332,PyVT,M,,,,11/18/16,202,157,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,333,PyVT,M,,,,11/18/16,202,157,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
-,334,PyVT,M,,,,11/18/16,202,157,12/12/16,3,sex unecessary to project,,,,,,,,,,,,,
2495509,229,PyVT,F,-/-,o/-,,08/24/16,003.1,177;199,12/12/16,16,bilateral tumors >4cm^2 on chest and abdomen,,,,,,,,,,,,,
2501549,219,PyVT,F,+/+,o/-,,08/10/16,101,157,12/12/16,18,bilateral tumors >4cm^2 on chest and abdomen,,,,,,,,,,,,,
-,332,PyVT,M,,,,11/25/16,186,199;226,12/20/16,4,sex unecessary to project,,,,,,,,,,,,,
-,333,PyVT,M,,,,11/25/16,186,199;226,12/20/16,4,sex unecessary to project,,,,,,,,,,,,,
-,334,PyVT,M,,,,11/25/16,186,199;226,12/20/16,4,sex unecessary to project,,,,,,,,,,,,,
-,338,PyVT,M,,,,11/30/16,186,199;226,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,339,PyVT,M,,,,11/30/16,186,199;226,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,340,PyVT,M,,,,11/30/16,186,199;226,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,341,PyVT,M,,,,11/30/16,186,199;226,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,342,PyVT,M,,,,11/30/16,186,199;226,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,345,B6*E2/FVB/NJ,M,,,,11/27/16,246,B6_F; RS961,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,346,B6*E2/FVB/NJ,M,,,,11/27/16,246,B6_F; RS961,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,347,B6*E2/FVB/NJ,M,,,,11/27/16,246,B6_F; RS961,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,348,B6*E2/FVB/NJ,M,,,,11/27/16,246,B6_F; RS961,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,349,B6*E2/FVB/NJ,M,,,,11/27/16,246,B6_F; RS961,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,358,PyVT,M,,,,11/26/16,230,193,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,359,PyVT,M,,,,11/26/16,230,193,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
-,360,PyVT,M,,,,11/26/16,230,193,12/20/16,3,sex unecessary to project,,,,,,,,,,,,,
2431037,152,PyVT,F,(+/+),(o/-),,01/06/16,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,
2358717,,B6*E2,M,,,,07/29/15,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,
2358717,,B6*E2,M,,,,07/29/15,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,
2358672,077,C3TAG-EGLN2,F,(+/-),,(o/-),,,,,,did not genotype; sacd before AGR arrival,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
